GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q9LSL5	LECRK92	GO:0042742	defense response to bacterium	P
UniProtKB	Q9LSL5	LECRK92	GO:0002229	defense response to oomycetes	P
UniProtKB	Q9LSL5	LECRK92	GO:0005886	plasma membrane	C
UniProtKB	Q9LSL5	LECRK92	GO:0004675	transmembrane receptor protein serine/threonine kinase activity	F
UniProtKB	Q9LSL5	LECRK92	GO:0005515	protein binding	F
UniProtKB	Q9LSL5	LECRK92	GO:0010726	positive regulation of hydrogen peroxide metabolic process	P
UniProtKB	Q9LSL5	LECRK92	GO:0010942	positive regulation of cell death	P
UniProtKB	Q9LSL5	LECRK92	GO:0002229	defense response to oomycetes	P
UniProtKB	Q9LSL5	LECRK92	GO:0002229	defense response to oomycetes	P
UniProtKB	Q9LSL5	LECRK92	GO:0002229	defense response to oomycetes	P
UniProtKB	Q9LSL5	LECRK92	GO:0005524	ATP binding	F
UniProtKB	Q9LSL5	LECRK92	GO:0030246	carbohydrate binding	F
UniProtKB	Q9LSL5	LECRK92	GO:0004672	protein kinase activity	F
UniProtKB	Q9LSL5	LECRK92	GO:0006468	protein phosphorylation	P
UniProtKB	Q9LSL5	LECRK92	GO:0016301	kinase activity	F
UniProtKB	Q9LSL5	LECRK92	GO:0005524	ATP binding	F
UniProtKB	Q9LSL5	LECRK92	GO:0016310	phosphorylation	P
UniProtKB	Q9LSL5	LECRK92	GO:0030246	carbohydrate binding	F
UniProtKB	Q9LSL5	LECRK92	GO:0006952	defense response	P
UniProtKB	Q9LSL5	LECRK92	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	Q9LSL5	LECRK92	GO:0016740	transferase activity	F
UniProtKB	Q9LSL5	LECRK92	GO:0000166	nucleotide binding	F
UniProtKB	Q9LSL5	LECRK92	GO:0005886	plasma membrane	C
UniProtKB	Q9LSL5	LECRK92	GO:0016020	membrane	C
UniProtKB	Q9LSL5	LECRK92	GO:0016021	integral component of membrane	C
UniProtKB	Q9LSL5	LECRK92	GO:0106310	protein serine kinase activity	F
UniProtKB	Q9LSL5	LECRK92	GO:0106311	protein threonine kinase activity	F
UniProtKB	Q9LSL5	LECRK92	GO:0005515	protein binding	F
UniProtKB	Q9LSL5	LECRK92	GO:0016301	kinase activity	F
UniProtKB	Q9LSL5	LECRK92	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	Q9LSL5	LECRK92	GO:0006468	protein phosphorylation	P
UniProtKB	Q9LSL5	LECRK92	GO:0009862	systemic acquired resistance, salicylic acid mediated signaling pathway	P
UniProtKB	Q9LSL5	LECRK92	GO:0140426	PAMP-triggered immunity signalling pathway	P
UniProtKB	Q9LSL5	LECRK92	GO:1900426	positive regulation of defense response to bacterium	P
UniProtKB	Q9LSL5	LECRK92	GO:0005886	plasma membrane	C
UniProtKB	Q9LSL5	LECRK92	GO:0106310	protein serine kinase activity	F
UniProtKB	Q9LSL5	LECRK92	GO:0106311	protein threonine kinase activity	F
UniProtKB	Q9LSL5	LECRK92	GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	P
UniProtKB	Q9LSL5	LECRK92	GO:0005886	plasma membrane	C
